[12.424] : n = 1; d = 0.00
[12.425] : n = 1; d = 0.00
[12.426] : n = 1; d = 0.00
[12.427] : n = 1; d = 0.00
[12.428] : n = 1; d = 0.00
[12.429] : n = 1; d = 0.00
[12.430] : n = 1; d = 0.00
[12.431] : n = 1; d = 0.00
[12.432] : n = 1; d = 0.00
[12.433] : n = 1; d = 0.00
[12.434] : n = 1; d = 0.00
[12.435] : n = 1; d = 0.00
[12.436] : n = 1; d = 0.00
[12.437] : n = 1; d = 0.00
[12.438] : n = 1; d = 0.00
[12.439] : n = 1; d = 0.00
[12.440] : n = 1; d = 0.00
[12.441] : n = 1; d = 0.00
[12.442] : n = 1; d = 0.00
[12.443] : n = 1; d = 0.00
[12.444] : n = 1; d = 0.00
[12.445] : n = 1; d = 0.00
[12.446] : n = 1; d = 0.00
[12.447] : n = 1; d = 0.00
[12.448] : n = 1; d = 0.00
[12.449] : n = 1; d = 0.00
[12.450] : n = 1; d = 0.00
[12.451] : n = 1; d = 0.00
[12.452] : n = 1; d = 0.00
[12.453] : n = 1; d = 0.00
[12.454] : n = 1; d = 0.00
[12.455] : n = 1; d = 0.00
[12.456] : n = 1; d = 0.00
[12.457] : n = 1; d = 0.00
[12.458] : n = 1; d = 0.00
[12.459] : n = 1; d = 0.00
[12.460] : n = 1; d = 0.00
[12.461] : n = 1; d = 0.00
[12.462] : n = 1; d = 0.00
[12.463] : n = 1; d = 0.00
[12.464] : n = 1; d = 0.00
[12.465] : n = 1; d = 0.00
[12.466] : n = 1; d = 0.00
[12.467] : n = 1; d = 0.00
[12.468] : n = 1; d = 0.00
[12.469] : n = 1; d = 0.00
[12.470] : n = 1; d = 0.00
[12.471] : n = 1; d = 0.00
[12.472] : n = 1; d = 0.00
[12.473] : n = 1; d = 0.00
[12.474] : n = 1; d = 0.00
[12.475] : n = 1; d = 0.00
[12.476] : n = 1; d = 0.00
[12.477] : n = 1; d = 0.00
[12.478] : n = 1; d = 0.00
[12.479] : n = 1; d = 0.00
[12.480] : n = 1; d = 0.00
[12.481] : n = 1; d = 0.00
[12.482] : n = 1; d = 0.00
[12.483] : n = 1; d = 0.00
[12.484] : n = 1; d = 0.00
[12.485] : n = 1; d = 0.00
[12.486] : n = 1; d = 0.00
[12.487] : n = 1; d = 0.00
[12.488] : n = 1; d = 0.00
[12.489] : n = 1; d = 0.00
[12.490] : n = 1; d = 0.00
[12.491] : n = 1; d = 0.00
[12.492] : n = 1; d = 0.00
[12.493] : n = 1; d = 0.00
[12.494] : n = 1; d = 0.00
[12.495] : n = 1; d = 0.00
[12.496] : n = 1; d = 0.00
[12.497] : n = 1; d = 0.00
[12.498] : n = 1; d = 0.00
[12.499] : n = 1; d = 0.00
[13.1] : n = 2; d = 0.00
[13.2] : n = 1; d = 0.00
[13.3] : n = 1; d = 0.00
[13.4] : n = 1; d = 0.00
[13.5] : n = 1; d = 0.00
[13.6] : n = 1; d = 0.00
[13.7] : n = 1; d = 0.00
[13.8] : n = 1; d = 0.00
[13.9] : n = 1; d = 0.00
[13.10] : n = 1; d = 0.00
[13.11] : n = 1; d = 0.00
[13.12] : n = 1; d = 0.00
[13.13] : n = 1; d = 0.00
[13.14] : n = 1; d = 0.00
[13.15] : n = 1; d = 0.00
[13.16] : n = 1; d = 0.00
[13.17] : n = 1; d = 0.00
[13.18] : n = 1; d = 0.00
[13.19] : n = 1; d = 0.00
[13.20] : n = 1; d = 0.00
[13.21] : n = 1; d = 0.00
[13.22] : n = 1; d = 0.00
[13.23] : n = 1; d = 0.00
[13.24] : n = 1; d = 0.00
[13.25] : n = 1; d = 0.00
[13.26] : n = 1; d = 0.00
[13.27] : n = 1; d = 0.00
[13.28] : n = 1; d = 0.00
